,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,scores,compound,comp_score
431,I am proud to stand with @NationalNurses in calling for a strong OSHA standard for RNs and other frontline health c… https://t.co/AxFeIU4qN2,False,12316,,2020-05-19T16:21:37Z,True,,1262780460905660424,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,3585,False,False,,,"{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.7506}",0.7506,pos
432,It’s time we reward the people who actually make this country work. Not Wall Street CEOs — but the middle class. Or… https://t.co/ngiZR2wMp5,False,51793,,2020-05-19T14:20:00Z,True,,1262749852976349184,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,10549,False,False,,,"{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0.3291}",0.3291,pos
433,Donald Trump is not responsible for the coronavirus. But he does bear full responsibility for failing to protect ou… https://t.co/xvsOP6mJGL,False,142263,,2020-05-19T01:00:00Z,True,,1262548526094929928,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,24626,False,False,,,"{'neg': 0.212, 'neu': 0.684, 'pos': 0.105, 'compound': -0.3944}",-0.3944,neg
434,"With your help, we'll defeat Donald Trump. And we won't just rebuild this nation — we’ll transform it. I know times… https://t.co/epvBq8icIg",False,11083,,2020-05-19T00:08:00Z,True,,1262535439715405824,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,2759,False,False,,,"{'neg': 0.127, 'neu': 0.759, 'pos': 0.114, 'compound': -0.0772}",-0.0772,neg
435,"One of President Trump's top advisors admitted that this administration ""really let the country down"" on testing.… https://t.co/5XoCjIW9as",False,16744,,2020-05-18T22:20:00Z,True,,1262508260411621377,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,4514,False,False,,,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.296}",0.296,pos
436,"- Expand vote-by-mail and early voting
- Implement online voter registration
- Ensure everyone can safely vote in-p… https://t.co/802YJomYgw",False,37204,,2020-05-18T20:30:00Z,True,,1262480579624235008,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,9085,False,False,,,"{'neg': 0.0, 'neu': 0.616, 'pos': 0.384, 'compound': 0.7964}",0.7964,pos
437,"Companies getting relief from taxpayers have an obligation to protect workers' paychecks, and the Trump Administrat… https://t.co/Tcvz9M3s99",False,9310,,2020-05-18T18:24:13Z,True,,1262448924608139269,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,2634,False,False,,,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.6908}",0.6908,pos
438,Donald Trump is the most corrupt president in modern American history — and his recovery efforts are making that clearer than ever.,False,204596,,2020-05-18T16:30:00Z,False,,1262420180690505733,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,37201,False,False,,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
439,"In the middle of the worst public health crisis in our lifetime, President Trump is actively trying to terminate he… https://t.co/t590FrMzOF",False,19229,,2020-05-18T14:15:00Z,True,,1262386206865797124,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,5915,False,False,,,"{'neg': 0.288, 'neu': 0.632, 'pos': 0.081, 'compound': -0.7845}",-0.7845,neg
440,"In times of crisis, Americans stand as one. It's who we are. And it's how we're going to get through this — together.",False,54161,,2020-05-18T01:00:00Z,False,,1262186137868595200,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,8819,False,False,,,"{'neg': 0.163, 'neu': 0.837, 'pos': 0.0, 'compound': -0.6249}",-0.6249,neg
441,"A year ago today, the House passed the #EqualityAct, a long-overdue bill that would ensure LGBTQ+ people are treate… https://t.co/gBIuWU1q30",False,25993,,2020-05-18T00:00:00Z,True,,1262171039863394305,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,6735,False,False,,,"{'neg': 0.0, 'neu': 0.867, 'pos': 0.133, 'compound': 0.3818}",0.3818,pos
